pipeline_name, pipeline_scores
pipeline_gender_df_preprocessed_3_CountVectorizer_SVC,"['Score: 0.94', 'precision: 0.94', 'Recall: 0.94', 'ROC AUC: 0.9836340852130325']"
pipeline_gender_df_preprocessed_4_CountVectorizer_SVC,"['Score: 0.9275', 'precision: 0.9275', 'Recall: 0.9275', 'ROC AUC: 0.9712280701754387']"
pipeline_gender_df_preprocessed_5_CountVectorizer_SVC,"['Score: 0.93', 'precision: 0.93', 'Recall: 0.93', 'ROC AUC: 0.9724937343358395']"
pipeline_gender_df_preprocessed_6_CountVectorizer_SVC,"['Score: 0.93', 'precision: 0.93', 'Recall: 0.93', 'ROC AUC: 0.9737092731829574']"
pipeline_gender_df_preprocessed_7_CountVectorizer_SVC,"['Score: 0.92', 'precision: 0.92', 'Recall: 0.92', 'ROC AUC: 0.971829573934837']"
pipeline_gender_df_preprocessed_9_CountVectorizer_SVC,"['Score: 0.9275', 'precision: 0.9275', 'Recall: 0.9275', 'ROC AUC: 0.9712280701754387']"
pipeline_gender_df_preprocessed_10_CountVectorizer_SVC,"['Score: 0.93', 'precision: 0.93', 'Recall: 0.93', 'ROC AUC: 0.9718796992481203']"
pipeline_gender_df_preprocessed_11_CountVectorizer_SVC,"['Score: 0.9425', 'precision: 0.9425', 'Recall: 0.9425', 'ROC AUC: 0.9839348370927319']"
pipeline_gender_df_preprocessed_12_CountVectorizer_SVC,"['Score: 0.93', 'precision: 0.93', 'Recall: 0.93', 'ROC AUC: 0.9725187969924811']"
pipeline_gender_df_preprocessed_13_CountVectorizer_SVC,"['Score: 0.935', 'precision: 0.935', 'Recall: 0.935', 'ROC AUC: 0.9787719298245614']"
pipeline_gender_df_preprocessed_14_CountVectorizer_SVC,"['Score: 0.965', 'precision: 0.965', 'Recall: 0.965', 'ROC AUC: 0.9911027568922306']"
pipeline_gender_df_preprocessed_15_CountVectorizer_SVC,"['Score: 0.915', 'precision: 0.915', 'Recall: 0.915', 'ROC AUC: 0.9724561403508771']"
pipeline_gender_df_preprocessed_16_CountVectorizer_SVC,"['Score: 0.91', 'precision: 0.91', 'Recall: 0.91', 'ROC AUC: 0.9735964912280701']"
pipeline_gender_df_preprocessed_17_CountVectorizer_SVC,"['Score: 0.94', 'precision: 0.94', 'Recall: 0.94', 'ROC AUC: 0.9840601503759399']"
pipeline_gender_df_preprocessed_0_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7534586466165415']"
pipeline_gender_df_preprocessed_1_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.752531328320802']"
pipeline_gender_df_preprocessed_2_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.6979699248120301']"
pipeline_gender_df_preprocessed_3_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7534335839598998']"
pipeline_gender_df_preprocessed_4_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7596867167919799']"
pipeline_gender_df_preprocessed_5_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7495989974937343']"
pipeline_gender_df_preprocessed_6_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7426817042606516']"
pipeline_gender_df_preprocessed_7_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.24621553884711778']"
pipeline_gender_df_preprocessed_9_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7581954887218044']"
pipeline_gender_df_preprocessed_10_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.6698245614035089']"
pipeline_gender_df_preprocessed_11_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7091604010025063']"
pipeline_gender_df_preprocessed_12_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.747593984962406']"
pipeline_gender_df_preprocessed_13_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.6911904761904761']"
pipeline_gender_df_preprocessed_14_Word2VecVectorizer_SVC,"['Score: 0.525', 'precision: 0.525', 'Recall: 0.525', 'ROC AUC: 0.7095989974937343']"
